Step,Value
0,0.0
0,472.3193664550781
1000,15.579938888549805
2000,22.806167602539062
3000,38.036346435546875
4000,22.221088409423828
5000,13.809442520141602
6000,13.671398162841797
7000,14.100074768066406
8000,15.159368515014648
9000,23.583173751831055
10000,21.45838737487793
11000,13.462305068969727
12000,13.338088989257812
13000,17.41814613342285
14000,22.588491439819336
15000,30.178070068359375
16000,30.796051025390625
17000,30.00497817993164
18000,31.188249588012695
19000,22.37248420715332
20000,22.595882415771484
21000,16.417980194091797
22000,22.114276885986328
23000,16.28851890563965
24000,21.88706398010254
25000,23.36740493774414
26000,24.630308151245117
27000,27.210235595703125
28000,15.262603759765625
29000,41.88465881347656
30000,16.035795211791992
31000,24.687767028808594
32000,36.19694519042969
33000,14.604330062866211
34000,22.518634796142578
35000,26.623964309692383
36000,15.822410583496094
37000,27.33635902404785
38000,23.36573600769043
39000,23.606538772583008
40000,22.710800170898438
41000,30.959367752075195
42000,13.698101043701172
43000,40.46893310546875
44000,37.34588623046875
45000,24.788618087768555
46000,23.325443267822266
47000,24.437665939331055
48000,14.256477355957031
49000,14.499425888061523
50000,22.783756256103516
51000,23.11873435974121
52000,39.018394470214844
53000,23.248672485351562
54000,19.10996437072754
55000,20.068883895874023
56000,16.378402709960938
57000,23.037433624267578
58000,14.394760131835938
59000,41.50676727294922
60000,13.889789581298828
