Step,Value
0,2.1264607906341553
1000,2.669827938079834
2000,0.13386540114879608
3000,-0.9438804984092712
4000,-0.14817185699939728
5000,-0.2638489603996277
6000,-0.06923623383045197
7000,-0.3885185122489929
8000,-0.34788578748703003
9000,-0.3201376795768738
10000,-0.37883466482162476
11000,-0.40185803174972534
12000,-0.2986251711845398
13000,-0.26475781202316284
14000,-0.3950445055961609
15000,-0.09488244354724884
16000,-0.2235085517168045
17000,-0.30020612478256226
18000,-0.2203511744737625
19000,-0.2141069918870926
20000,-0.2021312266588211
21000,-0.24326510727405548
22000,-0.16826577484607697
23000,-0.2525297999382019
24000,-0.2030775099992752
25000,-0.13849301636219025
26000,-0.11226840317249298
27000,-0.09471555054187775
28000,-0.1007508784532547
29000,-0.11699385941028595
30000,-0.20619554817676544
31000,-0.18292899429798126
32000,-0.17258258163928986
33000,-0.10880060493946075
34000,-0.07403965294361115
35000,-0.21809501945972443
36000,-0.2335345298051834
37000,-0.20208974182605743
38000,-0.16460485756397247
39000,-0.10258550941944122
40000,-0.28668421506881714
41000,-0.20076151192188263
42000,-0.24234314262866974
43000,-0.1166648417711258
44000,-0.12611527740955353
45000,-0.19160456955432892
46000,-0.20536895096302032
47000,-0.18436236679553986
48000,-0.11864729225635529
49000,-0.06891126930713654
50000,-0.12242265045642853
51000,-0.2116503268480301
52000,-0.20479698479175568
53000,-0.18705792725086212
54000,-0.17205877602100372
55000,-0.09568662941455841
56000,-0.10623927414417267
57000,-0.18663831055164337
58000,-0.2332736998796463
59000,-0.23841138184070587
60000,-0.20044966042041779
