Step,Value
0,0.06327531486749649
1000,-44.160648345947266
2000,-34.59086608886719
3000,-21.745323181152344
4000,10.441783905029297
5000,30.234725952148438
6000,33.86493682861328
7000,36.33677673339844
8000,36.50547409057617
9000,33.819923400878906
10000,31.913375854492188
11000,28.53982925415039
12000,26.476585388183594
13000,22.876789093017578
14000,19.851390838623047
15000,17.694873809814453
16000,14.900190353393555
17000,13.810894966125488
18000,11.537067413330078
19000,10.089122772216797
20000,8.755369186401367
21000,8.25710678100586
22000,8.034126281738281
23000,6.722231864929199
24000,6.813789367675781
25000,7.757667541503906
26000,7.18052339553833
27000,8.01774787902832
28000,7.931881904602051
29000,9.986434936523438
30000,9.883852005004883
31000,12.100785255432129
32000,12.940744400024414
33000,14.086225509643555
34000,14.716838836669922
35000,15.999958038330078
36000,16.971240997314453
37000,18.7396183013916
38000,19.197147369384766
39000,19.63926124572754
40000,21.807140350341797
41000,22.338560104370117
42000,23.861587524414062
43000,23.93753433227539
44000,24.638587951660156
45000,25.197683334350586
46000,26.04154396057129
47000,26.4210262298584
48000,26.526182174682617
49000,26.95191764831543
50000,27.727760314941406
51000,28.358333587646484
52000,26.71563148498535
53000,27.941383361816406
54000,27.82852554321289
55000,28.568965911865234
56000,28.006622314453125
57000,27.55156898498535
58000,27.667131423950195
59000,27.539949417114258
60000,28.86910629272461
