Step,Value
0,0.0
0,511.3880615234375
1000,22.38607406616211
2000,15.523195266723633
3000,14.314413070678711
4000,23.694753646850586
5000,28.449535369873047
6000,14.73379135131836
7000,22.826671600341797
8000,15.551328659057617
9000,14.211416244506836
10000,25.597333908081055
11000,14.612197875976562
12000,15.001058578491211
13000,14.540672302246094
14000,14.677286148071289
15000,17.08817481994629
16000,14.762163162231445
17000,15.934467315673828
18000,15.917062759399414
19000,15.215635299682617
20000,26.14760398864746
21000,22.89271354675293
22000,14.976024627685547
23000,30.144453048706055
24000,14.988899230957031
25000,14.629602432250977
26000,22.850513458251953
27000,15.300989151000977
28000,16.524791717529297
29000,16.892671585083008
30000,37.969825744628906
31000,14.705657958984375
32000,16.34693145751953
33000,14.537572860717773
34000,23.131608963012695
35000,22.815227508544922
36000,22.176027297973633
37000,22.482872009277344
38000,15.398740768432617
39000,14.647960662841797
40000,22.26877212524414
41000,14.850139617919922
42000,22.977113723754883
43000,16.048192977905273
44000,25.30074119567871
45000,14.716386795043945
46000,14.597654342651367
47000,14.809131622314453
48000,14.530420303344727
49000,22.443294525146484
50000,22.963285446166992
51000,24.821043014526367
52000,15.46335220336914
53000,14.772891998291016
54000,14.967679977416992
55000,15.075445175170898
56000,16.109943389892578
57000,29.96206283569336
58000,14.562368392944336
59000,30.124425888061523
60000,14.59813117980957
