Step,Value
0,0.0
0,23.752450942993164
1000,14.967203140258789
2000,14.957427978515625
3000,12.539863586425781
4000,12.291669845581055
5000,6.470918655395508
6000,15.008926391601562
7000,9.256601333618164
8000,7.167577743530273
9000,14.84227180480957
10000,7.622241973876953
11000,14.944314956665039
12000,15.151262283325195
13000,15.261650085449219
14000,15.517711639404297
15000,15.95616340637207
16000,14.930009841918945
17000,15.518903732299805
18000,6.8912506103515625
19000,7.997035980224609
20000,15.668630599975586
21000,11.881113052368164
22000,15.322685241699219
23000,15.356779098510742
24000,16.093015670776367
25000,15.533208847045898
26000,9.492635726928711
27000,15.544891357421875
28000,15.120983123779297
29000,15.133142471313477
30000,15.990257263183594
31000,15.36250114440918
32000,15.76995849609375
33000,15.486955642700195
34000,15.35344123840332
35000,15.856027603149414
36000,15.163421630859375
37000,15.379905700683594
38000,15.20228385925293
39000,15.053272247314453
40000,15.27857780456543
41000,7.729291915893555
42000,15.272855758666992
43000,7.235527038574219
44000,15.261650085449219
45000,15.14577865600586
46000,15.431880950927734
47000,16.243696212768555
48000,15.504837036132812
49000,15.282869338989258
50000,15.275955200195312
51000,15.071868896484375
52000,15.32602310180664
53000,15.329360961914062
54000,15.407562255859375
55000,15.642166137695312
56000,14.956474304199219
57000,16.152381896972656
58000,7.858991622924805
59000,15.238761901855469
60000,15.26331901550293
